kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,habitable_zone
7198648,K06840.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,0.566799833,2.062e-06,-2.062e-06,131.64094,0.00403,-0.00403,0.851,0.052,-0.588,5.543,0.149,-0.149,198.0,16.7,-16.7,1.27,0.27,-0.11,1900.0,,,3084.6,2042.9,-846.32,54.0,1.0,q1_q17_dr25_tce,5488.0,182.0,-182.0,4.584,0.036,-0.135,0.789,0.164,-0.07,291.28311,42.741859,15.524,0
10965740,K01887.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,21.78769087,8.84e-05,-8.84e-05,136.69645,0.00321,-0.00321,1.192,70.95,-0.326,4.498,0.149,-0.149,507.7,16.0,-16.0,71.95,20.08,-46.85,1042.0,,,278.24,234.48,-247.91,38.1,1.0,q1_q17_dr25_tce,5627.0,170.0,-153.0,3.633,0.773,-0.182,3.05,0.851,-1.986,286.46616,48.495918,12.967,0
8378922,K07028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,43.263305017,5.185e-06,-5.185e-06,150.3780757,9.75e-05,-9.75e-05,0.555,0.006,-0.004,10.0915,0.0054,-0.0054,359090.0,173.0,-173.0,62.75,16.56,-11.02,505.0,,,15.38,12.27,-6.13,2415.6,1.0,q1_q17_dr25_tce,5623.0,169.0,-169.0,4.4,0.167,-0.204,0.917,0.242,-0.161,296.3717,44.383541,14.977,0
8444552,K01769.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,0.589049151,3.3e-08,-3.3e-08,132.1792702,4.59e-05,-4.59e-05,1.094,0.027,-0.027,2.25397,0.00275,-0.00275,61953.0,62.1,-62.1,39.51,6.09,-4.97,1959.0,,,3495.15,1740.31,-1099.4,1227.6,1.0,q1_q17_dr25_tce,5592.0,166.0,-150.0,4.51,0.115,-0.104,0.771,0.119,-0.097,296.60672,44.472919,13.643,0
10222603,K05779.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,112.48226,0.00183,-0.00183,177.56967,0.00953,-0.00953,0.5181,0.4945,-0.3108,1.923,0.357,-0.357,195.7,39.4,-39.4,1.37,0.51,-0.12,386.0,,,5.23,5.57,-1.39,5.2,1.0,q1_q16_tce,6089.0,143.0,-182.0,4.495,0.043,-0.275,0.95,0.353,-0.085,297.09702,47.223492,13.725,0
4059887,K04887.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.018347376,5.354e-06,-5.354e-06,131.69633,0.00544,-0.00544,0.654,0.265,-0.419,4.386,0.146,-0.146,47.8,1.8,-1.8,1.92,0.32,-0.59,2832.0,,,15153.38,6743.86,-8279.22,33.3,1.0,q1_q17_dr25_tce,5858.0,87.0,-70.0,3.729,0.224,-0.096,2.638,0.441,-0.818,292.26559,39.129841,12.905,0
8129005,K04741.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,7.1403113,0.0001872,-0.0001872,137.9994,0.0212,-0.0212,0.786,0.203,-0.557,5.891,0.499,-0.499,112.1,11.7,-11.7,1.18,0.35,-0.12,1036.0,,,272.78,234.3,-83.46,11.8,1.0,q1_q17_dr25_tce,6354.0,170.0,-226.0,4.454,0.052,-0.195,1.016,0.298,-0.106,300.78387,43.962059,14.738,0
5091614,K06515.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,21.142458554,7.91e-07,-7.91e-07,138.3916328,3.17e-05,-3.17e-05,0.971,0.171,-0.003,5.17846,0.00221,-0.00221,73961.0,15.0,-15.0,41.68,13.41,-4.45,672.0,,,48.12,45.69,-14.31,3830.9,1.0,q1_q17_dr25_tce,6079.0,169.0,-190.0,4.495,0.054,-0.229,0.945,0.304,-0.101,289.48297,40.292751,14.083,0
8192861,K06987.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,0.552141897,4.102e-06,-4.102e-06,131.77199,0.00616,-0.00616,1.091,0.014,-0.0895,4.985,0.681,-0.681,105.6,50.2,-50.2,10.04,4.07,-1.0,2206.0,,,5602.43,6684.53,-1540.33,42.8,1.0,q1_q17_dr24_tce,5952.0,159.0,-164.0,4.486,0.059,-0.059,0.904,0.366,-0.09,299.71408,44.037189,13.866,0
9116075,K05617.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,24.5002702,0.0002963,-0.0002963,154.6193,0.0104,-0.0104,0.405,0.06,-0.403,4.079,0.278,-0.278,153.5,13.5,-13.5,0.73,0.08,-0.05,409.0,,,6.61,2.33,-1.55,13.3,1.0,q1_q17_dr25_tce,4519.0,120.0,-134.0,4.688,0.028,-0.052,0.597,0.062,-0.042,299.97076,45.448738,13.511,0
6864885,K02434.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,40.8777605,0.0004814,-0.0004814,163.43477,0.00976,-0.00976,1.262,71.44,-4.177,9.745,0.49,-0.49,719.1,35.8,-35.8,29.55,9.27,-3.09,526.0,,,18.15,17.1,-5.43,23.6,1.0,q1_q17_dr25_tce,5930.0,178.0,-196.0,4.489,0.054,-0.216,0.937,0.294,-0.098,292.35745,42.389149,15.59,0
1432214,K00998.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,161.78832712,3.539e-05,-3.539e-05,214.039,0.000166,-0.000166,0.267,0.03,-0.055,5.31,0.0123,-0.0123,87750.0,154.0,-154.0,36.14,6.24,-3.63,375.0,,,4.68,2.07,-1.12,704.5,1.0,q1_q17_dr25_tce,6018.0,72.0,-90.0,4.327,0.08,-0.12,1.212,0.209,-0.122,291.38269,37.07299,15.661,0
3962728,K05028.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,25.9493253,0.0005851,-0.0005851,155.024,0.0147,-0.0147,0.655,0.012,-0.529,12.17,1.0,-1.0,354.5,34.8,-34.8,1.04,0.07,-0.05,409.0,,,6.62,1.85,-1.31,13.1,1.0,q1_q17_dr25_tce,4835.0,145.0,-145.0,4.758,0.021,-0.049,0.526,0.035,-0.025,293.6925,39.022141,15.742,0
7199644,K07821.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,1,1.13357304,1.345e-05,-1.345e-05,131.8204,0.0116,-0.0116,0.739,0.226,-0.508,2.849,0.247,-0.247,33.1,3.2,-3.2,0.59,0.17,-0.07,1836.0,,,2688.01,2186.36,-861.64,12.0,1.0,q1_q17_dr25_tce,6147.0,166.0,-203.0,4.449,0.081,-0.189,0.954,0.264,-0.113,291.5705,42.73772,14.207,0
6947062,K05338.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,1,0,309.19347,0.04091,-0.04091,318.487,0.125,-0.125,0.1186,0.3587,-0.1185,23.51,5.1,-5.1,1445.0,268.0,-268.0,3.07,1.24,-0.24,236.0,,,0.73,0.93,-0.18,6.5,1.0,q1_q16_tce,5504.0,193.0,-163.0,4.572,0.027,-0.273,0.819,0.332,-0.064,291.32291,42.42207,15.68,1
10033279,K01604.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,72.4914068,0.0001681,-0.0001681,139.77857,0.00196,-0.00196,0.989,61.66,-0.024,3.612,0.111,-0.111,1063.5,32.1,-32.1,15.33,2.96,-5.49,700.0,,,56.76,33.07,-36.07,39.2,1.0,q1_q17_dr25_tce,5754.0,155.0,-173.0,3.639,0.28,-0.12,2.758,0.532,-0.988,299.2475,46.951908,13.05,0
4848423,K03560.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.501760172,1.2e-07,-1.2e-07,131.5669078,8.07e-05,-8.07e-05,0.518,0.003,-0.004,5.85519,0.0033,-0.0033,387900.0,182.0,-182.0,90.92,15.3,-7.05,1905.0,,,3110.42,1322.69,-607.76,2624.0,1.0,q1_q17_dr25_tce,6327.0,69.0,-88.0,4.315,0.051,-0.119,1.29,0.217,-0.1,295.21747,39.910042,11.825,0
